min,max,repetitions,result
-1000,0,710,86.06
-1000,0,760,82.63
-1000,0,810,84.57
-1000,0,860,83.72
-1000,0,910,83.85
-1000,0,960,81.77
-1000,100,10,100.0
-1000,100,60,83.33
-1000,100,110,88.18
-1000,100,160,86.88
-1000,100,210,86.19
-1000,100,260,87.69
-1000,100,310,88.06
-1000,100,360,87.5
-1000,100,410,86.1
-1000,100,460,85.87
-1000,100,510,85.1
-1000,100,560,85.71
-1000,100,610,87.87
-1000,100,660,87.58
-1000,100,710,86.48
-1000,100,760,85.92
-1000,100,810,87.04
-1000,100,860,84.42
-1000,100,910,85.82
-1000,100,960,86.98
-1000,200,10,90.0
-1000,200,60,88.33
-1000,200,110,87.27
-1000,200,160,87.5
-1000,200,210,84.76
-1000,200,260,88.46
-1000,200,310,87.74
-1000,200,360,84.72
-1000,200,410,88.54
-1000,200,460,87.61
-1000,200,510,87.25
-1000,200,560,88.75
-1000,200,610,86.39
-1000,200,660,90.3
-1000,200,710,87.61
-1000,200,760,87.63
-1000,200,810,88.52
-1000,200,860,88.95
-1000,200,910,86.7
-1000,200,960,85.52
-1000,300,10,90.0
-1000,300,60,91.67
-1000,300,110,83.64
-1000,300,160,90.0
-1000,300,210,90.95
-1000,300,260,89.23
-1000,300,310,90.97
-1000,300,360,89.72
-1000,300,410,86.83
-1000,300,460,90.87
-1000,300,510,88.63
-1000,300,560,88.39
-1000,300,610,87.21
-1000,300,660,88.94
-1000,300,710,87.89
-1000,300,760,89.08
-1000,300,810,89.26
-1000,300,860,87.09
-1000,300,910,88.57
-1000,300,960,90.1
-1000,400,10,90.0
-1000,400,60,88.33
-1000,400,110,90.0
-1000,400,160,91.88
-1000,400,210,88.57
-1000,400,260,90.77
-1000,400,310,89.68
-1000,400,360,86.94
-1000,400,410,90.24
-1000,400,460,87.83
-1000,400,510,90.59
-1000,400,560,88.04
-1000,400,610,87.54
-1000,400,660,90.91
-1000,400,710,89.01
-1000,400,760,88.68
-1000,400,810,89.51
-1000,400,860,90.0
-1000,400,910,89.23
-1000,400,960,90.1
-1000,500,10,90.0
-1000,500,60,95.0
-1000,500,110,95.45
-1000,500,160,89.38
-1000,500,210,90.0
-1000,500,260,90.38
-1000,500,310,89.68
-1000,500,360,91.11
-1000,500,410,90.73
-1000,500,460,89.13
-1000,500,510,90.98
-1000,500,560,88.93
-1000,500,610,90.49
-1000,500,660,90.61
-1000,500,710,92.54
-1000,500,760,90.53
-1000,500,810,90.99
-1000,500,860,90.7
-1000,500,910,90.0
-1000,500,960,90.94
-1000,600,10,80.0
-1000,600,60,91.67
-1000,600,110,84.55
-1000,600,160,93.12
-1000,600,210,88.1
-1000,600,260,93.85
-1000,600,310,90.65
-1000,600,360,90.0
-1000,600,410,91.22
-1000,600,460,90.43
-1000,600,510,92.35
-1000,600,560,88.39
-1000,600,610,91.31
-1000,600,660,90.15
-1000,600,710,90.7
-1000,600,760,91.32
-1000,600,810,92.1
-1000,600,860,90.23
-1000,600,910,90.44
-1000,600,960,90.31
-1000,700,10,90.0
-1000,700,60,90.0
-1000,700,110,90.0
-1000,700,160,93.12
-1000,700,210,91.9
-1000,700,260,91.54
-1000,700,310,91.29
-1000,700,360,91.67
-1000,700,410,91.46
-1000,700,460,90.87
-1000,700,510,90.2
-1000,700,560,90.18
-1000,700,610,91.64
-1000,700,660,92.12
-1000,700,710,91.55
-1000,700,760,90.66
-1000,700,810,91.6
-1000,700,860,91.86
-1000,700,910,90.88
-1000,700,960,92.71
-1000,800,10,80.0
-1000,800,60,85.0
-1000,800,110,90.91
-1000,800,160,95.0
-1000,800,210,89.05
-1000,800,260,90.0
-1000,800,310,91.94
-1000,800,360,94.17
-1000,800,410,91.95
-1000,800,460,89.57
-1000,800,510,91.96
-1000,800,560,93.21
-1000,800,610,91.48
-1000,800,660,93.48
-1000,800,710,91.97
-1000,800,760,90.79
-1000,800,810,91.98
-1000,800,860,92.56
-1000,800,910,91.87
-1000,800,960,93.33
-1000,900,10,90.0
-1000,900,60,93.33
-1000,900,110,93.64
-1000,900,160,93.75
-1000,900,210,91.9
-1000,900,260,94.62
-1000,900,310,94.19
-1000,900,360,90.83
-1000,900,410,93.66
-1000,900,460,93.04
-1000,900,510,92.94
-1000,900,560,90.54
-1000,900,610,93.77
-1000,900,660,93.94
-1000,900,710,91.55
-1000,900,760,92.63
-1000,900,810,92.22
-1000,900,860,91.51
-1000,900,910,91.98
-1000,900,960,92.08
-900,-1000,10,80.0
-900,-1000,60,75.0
-900,-1000,110,80.0
-900,-1000,160,83.75
-900,-1000,210,74.29
-900,-1000,260,83.08
-900,-1000,310,82.26
-900,-1000,360,80.28
-900,-1000,410,80.49
-900,-1000,460,83.48
-900,-1000,510,80.2
-900,-1000,560,80.89
-900,-1000,610,81.15
-900,-1000,660,82.12
-900,-1000,710,80.99
-900,-1000,760,80.0
-900,-1000,810,81.98
-900,-1000,860,80.12
-900,-1000,910,80.22
-900,-1000,960,80.21
-900,-900,10,100.0
-900,-900,60,100.0
-900,-900,110,100.0
-900,-900,160,100.0
-900,-900,210,100.0
-900,-900,260,100.0
-900,-900,310,100.0
-900,-900,360,100.0
-900,-900,410,100.0
-900,-900,460,100.0
-900,-900,510,100.0
-900,-900,560,100.0
-900,-900,610,100.0
-900,-900,660,100.0
-900,-900,710,100.0
-900,-900,760,100.0
-900,-900,810,100.0
-900,-900,860,100.0
-900,-900,910,100.0
-900,-900,960,100.0
-900,-800,10,80.0
-900,-800,60,81.67
-900,-800,110,81.82
-900,-800,160,83.12
-900,-800,210,79.52
-900,-800,260,78.46
-900,-800,310,81.29
-900,-800,360,83.89
-900,-800,410,82.44
-900,-800,460,81.96
-900,-800,510,80.2
-900,-800,560,82.68
-900,-800,610,79.18
-900,-800,660,77.88
-900,-800,710,81.27
-900,-800,760,81.97
-900,-800,810,84.07
-900,-800,860,83.02
-900,-800,910,81.87
-900,-800,960,82.81
-900,-700,10,100.0
-900,-700,60,93.33
-900,-700,110,78.18
-900,-700,160,84.38
-900,-700,210,79.52
-900,-700,260,81.15
-900,-700,310,81.94
-900,-700,360,81.11
-900,-700,410,80.24
-900,-700,460,82.39
-900,-700,510,82.35
-900,-700,560,82.32
-900,-700,610,82.3
-900,-700,660,84.85
-900,-700,710,80.85
-900,-700,760,81.97
-900,-700,810,82.72
-900,-700,860,80.93
-900,-700,910,80.55
-900,-700,960,80.83
-900,-600,10,90.0
-900,-600,60,76.67
-900,-600,110,80.0
-900,-600,160,75.62
-900,-600,210,81.43
-900,-600,260,80.77
-900,-600,310,81.29
-900,-600,360,78.33
-900,-600,410,80.49
-900,-600,460,77.83
-900,-600,510,83.53
-900,-600,560,80.18
-900,-600,610,78.36
-900,-600,660,82.27
-900,-600,710,79.72
-900,-600,760,81.18
-900,-600,810,81.85
-900,-600,860,81.05
-900,-600,910,80.66
-900,-600,960,82.4
-900,-500,10,70.0
-900,-500,60,71.67
-900,-500,110,80.91
-900,-500,160,71.88
-900,-500,210,78.1
-900,-500,260,83.08
-900,-500,310,76.13
-900,-500,360,75.56
-900,-500,410,77.56
-900,-500,460,76.96
-900,-500,510,75.49
-900,-500,560,75.89
-900,-500,610,78.2
-900,-500,660,77.58
-900,-500,710,74.23
-900,-500,760,75.13
-900,-500,810,77.9
-900,-500,860,76.63
-900,-500,910,76.15
-900,-500,960,77.08
-900,-400,10,70.0
-900,-400,60,83.33
-900,-400,110,74.55
-900,-400,160,75.62
-900,-400,210,71.9
-900,-400,260,75.38
-900,-400,310,74.84
-900,-400,360,78.33
-900,-400,410,72.68
-900,-400,460,75.0
-900,-400,510,70.59
-900,-400,560,75.0
-900,-400,610,72.79
-900,-400,660,77.58
-900,-400,710,71.41
-900,-400,760,73.55
-900,-400,810,75.68
-900,-400,860,76.28
-900,-400,910,74.95
-900,-400,960,76.04
-900,-300,10,70.0
-900,-300,60,68.33
-900,-300,110,71.82
-900,-300,160,71.88
-900,-300,210,77.62
-900,-300,260,76.92
-900,-300,310,79.68
-900,-300,360,74.72
-900,-300,410,77.07
-900,-300,460,74.78
-900,-300,510,75.29
-900,-300,560,76.79
-900,-300,610,71.64
-900,-300,660,75.3
-900,-300,710,71.55
-900,-300,760,74.47
-900,-300,810,75.68
-900,-300,860,75.47
-900,-300,910,74.07
-900,-300,960,75.52
-900,-200,10,30.0
-900,-200,60,80.0
-900,-200,110,83.64
-900,-200,160,73.75
-900,-200,210,80.0
-900,-200,260,79.23
-900,-200,310,75.16
-900,-200,360,75.83
-900,-200,410,79.51
-900,-200,460,78.48
-900,-200,510,75.88
-900,-200,560,77.14
-900,-200,610,78.36
-900,-200,660,78.64
-900,-200,710,79.58
-900,-200,760,73.82
-900,-200,810,76.79
-900,-200,860,76.74
-900,-200,910,79.78
-900,-200,960,78.65
-900,-100,10,90.0
-900,-100,60,83.33
-900,-100,110,81.82
-900,-100,160,78.75
-900,-100,210,79.52
-900,-100,260,79.62
-900,-100,310,83.87
-900,-100,360,86.11
-900,-100,410,81.22
-900,-100,460,80.22
-900,-100,510,81.76
-900,-100,560,78.57
-900,-100,610,82.62
-900,-100,660,79.85
-900,-100,710,79.3
-900,-100,760,81.18
-900,-100,810,81.48
-900,-100,860,79.3
-900,-100,910,83.3
-900,-100,960,81.25
-900,0,10,100.0
-900,0,60,98.33
-900,0,110,76.36
-900,0,160,85.62
-900,0,210,80.0
-900,0,260,81.92
-900,0,310,83.23
-900,0,360,83.61
-900,0,410,84.15
-900,0,460,82.83
-900,0,510,82.75
-900,0,560,82.68
-900,0,610,84.1
-900,0,660,83.03
-900,0,710,84.51
-900,0,760,83.68
-900,0,810,86.17
-900,0,860,85.12
-900,0,910,82.53
-900,0,960,83.33
-900,100,10,80.0
-900,100,60,93.33
-900,100,110,88.18
-900,100,160,84.38
-900,100,210,86.19
-900,100,260,85.77
